element,web_name,position
264,Holding,DEF
265,Kporha,DEF
267,Sarr,MID
268,Doucouré,MID
269,Esse,MID
270,Hughes,MID
271,Kamada,MID
272,Lerma,MID
273,Wharton,MID
274,Agbinone,MID
275,Ahamada,MID
276,Devenny,MID
277,Ebiowei,MID
278,J.Rak-Sakyi,MID
279,M.França,MID
280,Ozoh,MID
281,Rodney,MID
282,Umeh,MID
283,Mateta,FWD
284,Nketiah,FWD
285,Édouard,FWD
286,Marsh,FWD
690,Cardines,MID
712,Yeremy,MID
723,Canvot,DEF
732,Uche,FWD
242,Dewsbury-Hall,MID
287,Pickford,GKP
288,Travers,GKP
289,Tyrer,GKP
290,Branthwaite,DEF
291,Tarkowski,DEF
292,Mykolenko,DEF
293,O'Brien,DEF
294,Coleman,DEF
295,Keane,DEF
296,Patterson,DEF
297,Dixon,DEF
298,Welch,DEF
299,Ndiaye,MID
300,McNeil,MID
301,Alcaraz,MID
302,Gana,MID
303,Garner,MID
304,Iroegbunam,MID
305,Armstrong,MID
306,Bates,MID
307,Ebere,MID
308,Heath,MID
309,Metcalfe,MID
310,Barry,FWD
311,Beto,FWD
312,Y.Chermiti,FWD
313,Sherif,FWD
419,Grealish,MID
630,King,GKP
667,Aznou,DEF
704,Onyango,MID
705,Campbell,DEF
707,Dibling,MID
728,Röhl,MID
314,Leno,GKP
315,Benda,GKP
316,Robinson,DEF
317,Andersen,DEF
318,Bassey,DEF
319,Castagne,DEF
320,Diop,DEF
321,J.Cuenca,DEF
322,Tete,DEF
323,Amissah,DEF
324,Iwobi,MID
325,Smith Rowe,MID
326,Adama,MID
327,Andreas,MID
328,Sessegnon,MID
329,Wilson,MID
330,Berge,MID
331,Cairney,MID
332,Lukić,MID
333,Godo,MID
334,Harris,MID
335,King,MID
336,Reed,MID
337,Raúl,FWD
338,Muniz,FWD
664,Lecomte,GKP
727,Chukwueze,MID
731,Kevin,MID
737,Kusi-Asare,FWD
339,Meslier,GKP
340,Cairns,GKP
341,Darlow,GKP
342,Bogle,DEF
343,Struijk,DEF
344,Bijol,DEF
345,Bornauw,DEF
346,Byram,DEF
347,Gudmundsson,DEF
348,Rodon,DEF
349,Schmidt,DEF
350,Aaronson,MID
351,Gnonto,MID
352,Harrison,MID
353,James,MID
354,Ampadu,MID
355,Greenwood,MID
356,Gruev,MID
357,Ramazani,MID
358,Tanaka,MID
359,Crew,MID
360,Gelhardt,MID
361,Gyabi,MID
362,Piroe,FWD
363,Bamford,FWD
364,Mateo Joseph,FWD
365,Nmecha,FWD
493,Longstaff,MID
660,Stach,MID
665,Perri,GKP
691,Calvert-Lewin,FWD
698,Okafor,MID
706,Justin,DEF
741,Gray,FWD
366,A.Becker,GKP
367,Mamardashvili,GKP
368,Pécsi,GKP
369,Woodman,GKP
370,Frimpong,DEF
371,Kerkez,DEF
372,Robertson,DEF
373,Virgil,DEF
374,Konaté,DEF
375,Bradley,DEF
376,Gomez,DEF
377,Tsimikas,DEF
378,Nallo,DEF
379,R.Williams,DEF
380,Ramsay,DEF
381,M.Salah,MID
382,Wirtz,MID
383,Luis Díaz,MID
384,Gakpo,MID
385,Chiesa,MID
386,Mac Allister,MID
387,Szoboszlai,MID
388,C.Jones,MID
390,Gravenberch,MID
392,Endo,MID
393,Bajcetic,MID
394,McConnell,MID
395,Morton,MID
396,Nyoni,MID
397,Darwin,FWD
398,Danns,FWD
499,Isak,FWD
661,Ekitiké,FWD
686,Ngumoha,MID
692,Leoni,DEF
746,Morrison,MID
182,Trafford,GKP
399,Ederson M.,GKP
400,Ortega Moreno,GKP
401,Bettinelli,GKP
402,Aït-Nouri,DEF
403,Gvardiol,DEF
404,Akanji,DEF
405,Aké,DEF
406,Khusanov,DEF
407,Matheus N.,DEF
408,Rúben,DEF
409,Stones,DEF
410,Lewis,DEF
411,O’Reilly,DEF
412,Vitor Reis,DEF
413,Marmoush,MID
414,Foden,MID
415,Savinho,MID
416,Bernardo,MID
417,Cherki,MID
418,Doku,MID
420,Gündoğan,MID
421,Rodrigo,MID
422,Kovačić,MID
423,N.Gonzalez,MID
424,Bobb,MID
425,Echeverri,MID
427,Reijnders,MID
428,Nypan,MID
429,Phillips,MID
430,Haaland,FWD
736,Donnarumma,GKP
739,Mukasa,MID
740,Mfuni,DEF
742,McAidoo,MID
119,Mbeumo,MID
431,Bayindir,GKP
432,Onana,GKP
433,Harrison,GKP
434,Heaton,GKP
435,Mee,GKP
436,De Ligt,DEF
437,Martinez,DEF
438,Mazraoui,DEF
439,D.Leon,DEF
440,Dalot,DEF
441,Dorgu,DEF
442,Maguire,DEF
443,Shaw,DEF
444,Yoro,DEF
445,Amass,DEF
446,Fredricson,DEF
447,Heaven,DEF
448,Malacia,DEF
449,B.Fernandes,MID
450,Cunha,MID
451,Rashford,MID
452,Amad,MID
454,Antony,MID
455,Mount,MID
457,Casemiro,MID
458,Mainoo,MID
459,Ugarte,MID
460,Collyer,MID
461,Fitzgerald,MID
462,J.Fletcher,MID
463,Kone,MID
464,Moorhouse,MID
465,Højlund,FWD
466,Zirkzee,FWD
467,Obi,FWD
468,Wheatley,FWD
681,Šeško,FWD
733,Lammens,GKP
52,J.Ramsey,MID
135,Wissa,FWD
469,Pope,GKP
471,Gillespie,GKP
472,Odysseas,GKP
473,Hall,DEF
474,Schär,DEF
475,Botman,DEF
476,Burn,DEF
477,Livramento,DEF
478,Trippier,DEF
479,Krafth,DEF
480,Lascelles,DEF
481,A.Murphy,DEF
482,Ashby,DEF
483,Pivas,DEF
484,Targett,DEF
485,Gordon,MID
486,Elanga,MID
487,Barnes,MID
488,Bruno G.,MID
489,J.Murphy,MID
490,Joelinton,MID
491,Tonali,MID
492,Antoñito C.,MID
494,Willock,MID
495,Hayden,MID
496,Kuol,MID
497,L.Miley,MID
498,White,MID
500,Osula,FWD
501,Neave,FWD
674,Ramsdale,GKP
684,Thiaw,DEF
689,Seung soo,MID
714,Woltemade,FWD
12,Zinchenko,DEF
426,McAtee,MID
502,Sels,GKP
503,C.Miguel,GKP
504,Turner,GKP
505,Milenković,DEF
506,Murillo,DEF
507,Aina,DEF
508,N.Williams,DEF
509,David Carmo,DEF
510,Jair Cunha,DEF
511,Morato,DEF
512,O.Richards,DEF
513,Abbott,DEF
514,Boly,DEF
515,Gibbs-White,MID
516,Hudson-Odoi,MID
517,Anderson,MID
518,Jota,MID
519,Dominguez,MID
520,O'Brien,MID
521,Sangaré,MID
522,Yates,MID
523,Da Silva Moreira,MID
524,Stamenic,MID
525,Wood,FWD
526,Igor Jesus,FWD
527,Awoniyi,FWD
669,Ndoye,MID
675,Gunn,GKP
693,Hutchinson,MID
696,Kalimuendo,FWD
699,Douglas Luiz,MID
715,John,GKP
716,Savona,DEF
729,Cuiabano,DEF
734,Bakwa,MID
528,Patterson,GKP
529,Moore,GKP
530,Nna Noukeu,GKP
531,Ballard,DEF
532,Hume,DEF
533,Alese,DEF
534,Anderson,DEF
535,Cirkin,DEF
536,Hjelde,DEF
537,Huggins,DEF
538,Johnson,DEF
539,O'Nien,DEF
540,Pembele,DEF
541,Reinildo,DEF
542,Seelt,DEF
543,Adingra,MID
544,Diarra,MID
545,Roberts,MID
546,Aleksić,MID
547,E.Le Fée,MID
548,Mundle,MID
549,Neil,MID
550,Poveda,MID
551,Rigg,MID
552,Sadiki,MID
553,Talbi,MID
554,Ba,MID
555,Browne,MID
556,Ekwah,MID
557,H.Jones,MID
558,Matete,MID
559,Triantis,MID
560,Isidor,FWD
561,Mayenda,FWD
562,Abdullahi,FWD
563,Luís Hemir,FWD
564,Rusyn,FWD
668,Xhaka,MID
670,Roefs,GKP
678,Masuaku,DEF
683,Alderete,DEF
694,Mukiele,DEF
724,Geertruida,DEF
730,Brobbey,FWD
735,Traoré,MID
565,Vicario,GKP
566,Austin,GKP
567,Kinsky,GKP
568,Pedro Porro,DEF
569,Romero,DEF
570,Danso,DEF
571,Davies,DEF
572,Dragusin,DEF
573,Spence,DEF
574,Udogie,DEF
575,Van de Ven,DEF
576,Phillips,DEF
577,Takai,DEF
578,Vuskovic,DEF
579,Son,MID
580,Johnson,MID
581,Maddison,MID
582,Kudus,MID
583,Kulusevski,MID
584,Tel,MID
585,Bentancur,MID
586,Bergvall,MID
587,Bissouma,MID
588,Odobert,MID
589,Solomon,MID
590,Bryan,MID
591,Gray,MID
592,Moore,MID
593,P.M.Sarr,MID
594,Min-hyeok,MID
595,Olusesi,MID
596,Solanke,FWD
597,Richarlison,FWD
598,Lankshear,FWD
599,Scarlett,FWD
673,J.Palhinha,MID
717,Xavi,MID
726,Kolo Muani,FWD
745,Byfield,DEF
149,Igor,DEF
600,Areola,GKP
601,Foderingham,GKP
602,Hegyi,GKP
603,Diouf,DEF
604,Emerson,DEF
605,Kilman,DEF
606,Mavropanos,DEF
607,N.Aguerd,DEF
608,Scarles,DEF
609,Todibo,DEF
610,Wan-Bissaka,DEF
611,Casey,DEF
612,L.Paquetá,MID
613,Souček,MID
614,Ward-Prowse,MID
615,Summerville,MID
616,Álvarez,MID
617,Cornet,MID
618,G.Rodriguez,MID
619,L.Guilherme,MID
620,Earthy,MID
621,Irving,MID
622,Orford,MID
623,Potts,MID
624,Bowen,FWD
625,Füllkrug,FWD
626,Marshall,FWD
659,Walker-Peters,DEF
671,Wilson,FWD
679,Hermansen,GKP
708,M.Fernandes,MID
718,S.Magassa,MID
738,Fabianski,GKP
627,Johnstone,GKP
628,José Sá,GKP
629,Bentley,GKP
631,Agbadou,DEF
632,Doherty,DEF
633,H.Bueno,DEF
634,Mosquera,DEF
635,R.Gomes,DEF
636,S.Bueno,DEF
637,Toti,DEF
638,Hoever,DEF
639,Meupiyou,DEF
640,Pedro Lima,DEF
641,Pond,DEF
642,Hee Chan,MID
643,André,MID
644,Bellegarde,MID
645,Fer López,MID
646,Gomes,MID
647,Guedes,MID
648,Munetsi,MID
649,B.Traore,MID
650,Chirewa,MID
651,Edozie,MID
652,Gonzalez,MID
653,Hodge,MID
654,Strand Larsen,FWD
655,Fábio Silva,FWD
656,Kalajdžić,FWD
657,Chiwome,FWD
658,Fraser,FWD
663,J.Arias,MID
682,Møller Wolfe,DEF
695,Tchatchoua,DEF
709,Krejčí,DEF
720,Tolu,FWD
